2Z,1729,BRA,7373,BSB,2531,,0,AT7
2Z,1729,BRA,7373,SSA,2621,,0,AT7
2Z,1729,BSB,2531,BRA,7373,,0,AT7
2Z,1729,BSB,2531,OPS,7367,,0,AT7
2Z,1729,BSB,2531,RAO,2613,,0,AT7
2Z,1729,CAC,2535,GRU,2564,,0,AT7
2Z,1729,CGB,2548,GYN,2562,,0,AT7
2Z,1729,CGB,2548,OPS,7367,,0,AT7
2Z,1729,DOU,7380,GRU,2564,,0,AT7
2Z,1729,GIG,2560,RAO,2613,,0,AT7
2Z,1729,GRU,2564,CAC,2535,,0,AT7
2Z,1729,GRU,2564,DOU,7380,,0,AT7
2Z,1729,GRU,2564,RAO,2613,,0,AT7
2Z,1729,GRU,2564,UBA,2635,,0,AT7
2Z,1729,GRU,2564,UDI,2633,,0,AT7
2Z,1729,GRU,2564,VDC,6039,,0,AT7
2Z,1729,GYN,2562,CGB,2548,,0,AT7
2Z,1729,OPS,7367,BSB,2531,,0,AT7
2Z,1729,OPS,7367,CGB,2548,,0,AT7
2Z,1729,RAO,2613,BSB,2531,,0,AT7
2Z,1729,RAO,2613,GIG,2560,,0,AT7
2Z,1729,RAO,2613,GRU,2564,,0,AT7
2Z,1729,SSA,2621,BRA,7373,,0,AT7
2Z,1729,SSA,2621,VDC,6039,,0,AT7
2Z,1729,UBA,2635,GRU,2564,,0,AT7
2Z,1729,UDI,2633,GRU,2564,,0,AT7
2Z,1729,VDC,6039,GRU,2564,,0,AT7
2Z,1729,VDC,6039,SSA,2621,,0,AT7
5Q,18232,CWB,2545,MVD,2816,,0,AT7
5Q,18232,GIG,2560,MVD,2816,,0,AT7 319
5Q,18232,GRU,2564,MVD,2816,,0,AT7 319
5Q,18232,MVD,2816,CWB,2545,,0,AT7
5Q,18232,MVD,2816,GIG,2560,,0,AT7 319
5Q,18232,MVD,2816,GRU,2564,,0,319 AT7
5Q,18232,MVD,2816,POA,2599,,0,AT7
5Q,18232,POA,2599,MVD,2816,,0,AT7
AA,24,BSB,2531,MIA,3576,,0,757 763
AA,24,CLT,3876,GRU,2564,,0,332
AA,24,CNF,2537,MIA,3576,,0,763
AA,24,CWB,2545,POA,2599,,0,763
AA,24,DFW,3670,GIG,2560,,0,763
AA,24,DFW,3670,GRU,2564,,0,77W
AA,24,GIG,2560,CLT,3876,,0,767
AA,24,GIG,2560,DFW,3670,,0,763
AA,24,GIG,2560,JFK,3797,,0,763
AA,24,GIG,2560,MIA,3576,,0,763
AA,24,GRU,2564,CLT,3876,,0,332
AA,24,GRU,2564,DFW,3670,,0,77W
AA,24,GRU,2564,JFK,3797,,0,77W 777 773
AA,24,GRU,2564,LAX,3484,,0,777
AA,24,GRU,2564,MCO,3878,,0,320
AA,24,GRU,2564,MIA,3576,,0,773 777
AA,24,JFK,3797,GIG,2560,,0,763
AA,24,JFK,3797,GRU,2564,,0,773 77W 777
AA,24,LAX,3484,GRU,2564,,0,777
AA,24,MAO,2551,MIA,3576,,0,738 763
AA,24,MCO,3878,GRU,2564,,0,320
AA,24,MIA,3576,BSB,2531,,0,763 757
AA,24,MIA,3576,CNF,2537,,0,763
AA,24,MIA,3576,CWB,2545,,0,763
AA,24,MIA,3576,GIG,2560,,0,763
AA,24,MIA,3576,GRU,2564,,0,773 777
AA,24,MIA,3576,MAO,2551,,0,763 738
AA,24,MIA,3576,REC,2610,,0,757
